edge_id,source_strut_id,source_class,k,neighbor_edge_ids,neighbor_categories,neighbor_distances_mm,present_neighbor_count,unintentional_missing_neighbor_count,unintentional_broken_neighbor_count,intentional_missing_neighbor_count,resolved_neighbor_count,unresolved_neighbor_count
E_N002149_N002155,3791,unintentional_missing,3,"[""E_N002149_N002150"",""E_N002149_N002153"",""E_N002153_N002155""]","[""present"",""present"",""""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",2,0,0,0,2,1
E_N002149_N002155,3791,unintentional_missing,5,"[""E_N002149_N002150"",""E_N002149_N002153"",""E_N002153_N002155"",""E_N002150_N002155"",""E_N002149_N003289""]","[""present"",""present"","""",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,2.2799999999999985]",3,1,0,0,4,1
E_N002149_N002155,3791,unintentional_missing,10,"[""E_N002149_N002150"",""E_N002149_N002153"",""E_N002153_N002155"",""E_N002150_N002155"",""E_N002149_N003289"",""E_N002149_N002169"",""E_N001015_N002155"",""E_N002146_N002155"",""E_N002150_N002153"",""E_N002149_N003287""]","[""present"",""present"","""",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053289,2.2799999999999985,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.792418306772822]",5,4,0,0,9,1
E_N002149_N002169,3818,unintentional_missing,1,"[""E_N002149_N002153""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N002149_N002169,3818,unintentional_missing,3,"[""E_N002149_N002153"",""E_N002149_N002164"",""E_N002153_N002169""]","[""present"",""intentional_missing"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",2,0,0,1,3,0
E_N002149_N002169,3818,unintentional_missing,5,"[""E_N002149_N002153"",""E_N002149_N002164"",""E_N002153_N002169"",""E_N002164_N002169"",""E_N002149_N003303""]","[""present"",""intentional_missing"",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985]",3,1,0,1,5,0
E_N002149_N002169,3818,unintentional_missing,10,"[""E_N002149_N002153"",""E_N002149_N002164"",""E_N002153_N002169"",""E_N002164_N002169"",""E_N002149_N003303"",""E_N002149_N002155"",""E_N001015_N002169"",""E_N002163_N002169"",""E_N002153_N002164"",""E_N002149_N003287""]","[""present"",""intentional_missing"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985,2.2799999999999994,2.2800000000000002,2.2800000000000002,2.280000000000001,2.792418306772822]",5,4,0,1,10,0
E_N002149_N003289,5804,unintentional_missing,1,"[""E_N002149_N002150""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N002149_N003289,5804,unintentional_missing,3,"[""E_N002149_N002150"",""E_N002149_N003287"",""E_N002150_N003289""]","[""present"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053289]",3,0,0,0,3,0
E_N002149_N003289,5804,unintentional_missing,5,"[""E_N002149_N002150"",""E_N002149_N003287"",""E_N002150_N003289"",""E_N003287_N003289"",""E_N002149_N002155""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.6122034611053289,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N002149_N003289,5804,unintentional_missing,10,"[""E_N002149_N002150"",""E_N002149_N003287"",""E_N002150_N003289"",""E_N003287_N003289"",""E_N002149_N002155"",""E_N002149_N003303"",""E_N002146_N003289"",""E_N002150_N003287"",""E_N003283_N003289"",""E_N002149_N002153""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053289,1.612203461105329,2.2799999999999985,2.2799999999999994,2.2800000000000002,2.280000000000001,2.280000000000001,2.792418306772822]",6,4,0,0,10,0
E_N002149_N003303,5833,unintentional_missing,1,"[""E_N002149_N002164""]","[""intentional_missing""]",[1.6122034611053278],0,0,0,1,1,0
E_N002149_N003303,5833,unintentional_missing,3,"[""E_N002149_N002164"",""E_N002149_N003287"",""E_N002164_N003303""]","[""intentional_missing"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.612203461105329]",2,0,0,1,3,0
E_N002149_N003303,5833,unintentional_missing,5,"[""E_N002149_N002164"",""E_N002149_N003287"",""E_N002164_N003303"",""E_N003287_N003303"",""E_N002149_N002169""]","[""intentional_missing"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999985]",3,1,0,1,5,0
E_N002149_N003303,5833,unintentional_missing,10,"[""E_N002149_N002164"",""E_N002149_N003287"",""E_N002164_N003303"",""E_N003287_N003303"",""E_N002149_N002169"",""E_N002149_N003289"",""E_N002163_N003303"",""E_N002164_N003287"",""E_N003283_N003303"",""E_N002149_N002150""]","[""intentional_missing"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999985,2.2799999999999994,2.2800000000000002,2.280000000000001,2.280000000000001,2.792418306772822]",5,4,0,1,10,0
E_N002163_N002169,3819,unintentional_missing,1,"[""E_N002163_N002164""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N002163_N002169,3819,unintentional_missing,3,"[""E_N002163_N002164"",""E_N002163_N002167"",""E_N002164_N002169""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286]",3,0,0,0,3,0
E_N002163_N002169,3819,unintentional_missing,5,"[""E_N002163_N002164"",""E_N002163_N002167"",""E_N002164_N002169"",""E_N002167_N002169"",""E_N002163_N002183""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.2799999999999985]",4,1,0,0,5,0
E_N002163_N002169,3819,unintentional_missing,10,"[""E_N002163_N002164"",""E_N002163_N002167"",""E_N002164_N002169"",""E_N002167_N002169"",""E_N002163_N002183"",""E_N002163_N003303"",""E_N001029_N002169"",""E_N002149_N002169"",""E_N002164_N002167"",""E_N002163_N002178""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.6122034611053286,1.6122034611053286,2.2799999999999985,2.2799999999999985,2.2800000000000002,2.2800000000000002,2.280000000000001,2.792418306772822]",6,4,0,0,10,0
E_N002163_N002183,3846,unintentional_missing,1,"[""E_N002163_N002167""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N002163_N002183,3846,unintentional_missing,3,"[""E_N002163_N002167"",""E_N002163_N002178"",""E_N002167_N002183""]","[""present"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286]",3,0,0,0,3,0
E_N002163_N002183,3846,unintentional_missing,5,"[""E_N002163_N002167"",""E_N002163_N002178"",""E_N002167_N002183"",""E_N002178_N002183"",""E_N002163_N002169""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N002163_N002183,3846,unintentional_missing,10,"[""E_N002163_N002167"",""E_N002163_N002178"",""E_N002167_N002183"",""E_N002178_N002183"",""E_N002163_N002169"",""E_N002163_N003317"",""E_N001029_N002183"",""E_N002167_N002178"",""E_N002177_N002183"",""E_N002163_N003301""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985,2.2799999999999985,2.2800000000000002,2.280000000000001,2.280000000000001,2.7924183067728214]",6,4,0,0,10,0
E_N002163_N003303,5832,unintentional_missing,1,"[""E_N002163_N002164""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N002163_N003303,5832,unintentional_missing,3,"[""E_N002163_N002164"",""E_N002163_N003301"",""E_N002164_N003303""]","[""present"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286]",3,0,0,0,3,0
E_N002163_N003303,5832,unintentional_missing,5,"[""E_N002163_N002164"",""E_N002163_N003301"",""E_N002164_N003303"",""E_N003301_N003303"",""E_N002163_N002169""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N002163_N003303,5832,unintentional_missing,10,"[""E_N002163_N002164"",""E_N002163_N003301"",""E_N002164_N003303"",""E_N003301_N003303"",""E_N002163_N002169"",""E_N002163_N003317"",""E_N002149_N003303"",""E_N002164_N003301"",""E_N003297_N003303"",""E_N002163_N002178""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999985,2.2799999999999985,2.2800000000000002,2.280000000000001,2.280000000000001,2.7924183067728214]",6,4,0,0,10,0
E_N002163_N003317,5861,unintentional_missing,1,"[""E_N002163_N002178""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N002163_N003317,5861,unintentional_missing,3,"[""E_N002163_N002178"",""E_N002163_N003301"",""E_N002178_N003317""]","[""present"",""present"",""present""]","[1.6122034611053278,1.6122034611053278,1.612203461105329]",3,0,0,0,3,0
E_N002163_N003317,5861,unintentional_missing,5,"[""E_N002163_N002178"",""E_N002163_N003301"",""E_N002178_N003317"",""E_N003301_N003317"",""E_N002163_N002183""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053278,1.612203461105329,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N002163_N003317,5861,unintentional_missing,10,"[""E_N002163_N002178"",""E_N002163_N003301"",""E_N002178_N003317"",""E_N003301_N003317"",""E_N002163_N002183"",""E_N002163_N003303"",""E_N002177_N003317"",""E_N002178_N003301"",""E_N003297_N003317"",""E_N002163_N002164""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.6122034611053278,1.612203461105329,1.612203461105329,2.2799999999999985,2.2799999999999985,2.280000000000001,2.280000000000001,2.280000000000001,2.7924183067728214]",6,4,0,0,10,0
E_N002177_N002183,3847,unintentional_missing,1,"[""E_N002177_N002178""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N002177_N002183,3847,unintentional_missing,3,"[""E_N002177_N002178"",""E_N002181_N002183"",""E_N002177_N002181""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329]",3,0,0,0,3,0
E_N002177_N002183,3847,unintentional_missing,5,"[""E_N002177_N002178"",""E_N002181_N002183"",""E_N002177_N002181"",""E_N002178_N002183"",""E_N002177_N003317""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N002177_N002183,3847,unintentional_missing,10,"[""E_N002177_N002178"",""E_N002181_N002183"",""E_N002177_N002181"",""E_N002178_N002183"",""E_N002177_N003317"",""E_N001043_N002183"",""E_N002163_N002183"",""E_N002177_N002197"",""E_N002178_N002181"",""E_N002177_N003315""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999985,2.2800000000000002,2.280000000000001,2.280000000000001,2.280000000000001,2.7924183067728223]",6,4,0,0,10,0
E_N002177_N002197,3874,unintentional_missing,1,"[""E_N002192_N002197""]","[""""]",[1.6122034611053278],0,0,0,0,0,1
E_N002177_N002197,3874,unintentional_missing,3,"[""E_N002192_N002197"",""E_N002177_N002192"",""E_N002181_N002197""]","["""",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286]",2,0,0,0,2,1
E_N002177_N002197,3874,unintentional_missing,5,"[""E_N002192_N002197"",""E_N002177_N002192"",""E_N002181_N002197"",""E_N002177_N002181"",""E_N002191_N002197""]","["""",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999976]",3,1,0,0,4,1
E_N002177_N002197,3874,unintentional_missing,10,"[""E_N002192_N002197"",""E_N002177_N002192"",""E_N002181_N002197"",""E_N002177_N002181"",""E_N002191_N002197"",""E_N002177_N003331"",""E_N001043_N002197"",""E_N002177_N002183"",""E_N002181_N002192"",""E_N002191_N002192""]","["""",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999976,2.2799999999999985,2.2800000000000002,2.280000000000001,2.280000000000001,2.792418306772821]",5,4,0,0,9,1
E_N002177_N003317,5860,unintentional_missing,1,"[""E_N002177_N002178""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N002177_N003317,5860,unintentional_missing,3,"[""E_N002177_N002178"",""E_N002177_N003315"",""E_N002178_N003317""]","[""present"",""present"",""present""]","[1.6122034611053278,1.612203461105329,1.612203461105329]",3,0,0,0,3,0
E_N002177_N003317,5860,unintentional_missing,5,"[""E_N002177_N002178"",""E_N002177_N003315"",""E_N002178_N003317"",""E_N003315_N003317"",""E_N002177_N002183""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.612203461105329,1.612203461105329,1.612203461105329,2.2799999999999985]",4,1,0,0,5,0
E_N002177_N003317,5860,unintentional_missing,10,"[""E_N002177_N002178"",""E_N002177_N003315"",""E_N002178_N003317"",""E_N003315_N003317"",""E_N002177_N002183"",""E_N002163_N003317"",""E_N002177_N003331"",""E_N002178_N003315"",""E_N003311_N003317"",""E_N002177_N002181""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.612203461105329,1.612203461105329,1.612203461105329,2.2799999999999985,2.280000000000001,2.280000000000001,2.280000000000001,2.280000000000001,2.7924183067728223]",6,4,0,0,10,0
E_N002177_N003331,5889,unintentional_missing,1,"[""E_N002177_N002192""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N002177_N003331,5889,unintentional_missing,3,"[""E_N002177_N002192"",""E_N002192_N003331"",""E_N002177_N003315""]","[""present"",""present"",""present""]","[1.6122034611053278,1.6122034611053278,1.612203461105329]",3,0,0,0,3,0
E_N002177_N003331,5889,unintentional_missing,5,"[""E_N002177_N002192"",""E_N002192_N003331"",""E_N002177_N003315"",""E_N003315_N003331"",""E_N002191_N003331""]","[""present"",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053278,1.612203461105329,1.612203461105329,2.2799999999999976]",4,1,0,0,5,0
E_N002177_N003331,5889,unintentional_missing,10,"[""E_N002177_N002192"",""E_N002192_N003331"",""E_N002177_N003315"",""E_N003315_N003331"",""E_N002191_N003331"",""E_N002177_N002197"",""E_N002177_N003317"",""E_N002192_N003315"",""E_N003311_N003331"",""E_N002191_N002192""]","[""present"",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.6122034611053278,1.612203461105329,1.612203461105329,2.2799999999999976,2.2799999999999985,2.280000000000001,2.280000000000001,2.280000000000001,2.792418306772821]",6,4,0,0,10,0
E_N002191_N002197,3875,unintentional_missing,1,"[""E_N002192_N002197""]","[""""]",[1.6122034611053278],0,0,0,0,0,1
E_N002191_N002197,3875,unintentional_missing,3,"[""E_N002192_N002197"",""E_N002191_N002192"",""E_N002195_N002197""]","["""",""present"",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286]",2,0,0,0,2,1
E_N002191_N002197,3875,unintentional_missing,5,"[""E_N002192_N002197"",""E_N002191_N002192"",""E_N002195_N002197"",""E_N002191_N002195"",""E_N002177_N002197""]","["""",""present"",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999976]",3,1,0,0,4,1
E_N002191_N002197,3875,unintentional_missing,10,"[""E_N002192_N002197"",""E_N002191_N002192"",""E_N002195_N002197"",""E_N002191_N002195"",""E_N002177_N002197"",""E_N002191_N003331"",""E_N001057_N002197"",""E_N002191_N002211"",""E_N002192_N002195"",""E_N002177_N002192""]","["""",""present"",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"","""",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999976,2.2799999999999985,2.2800000000000002,2.280000000000001,2.280000000000001,2.792418306772821]",4,4,0,0,8,2
E_N002191_N002211,3902,unintentional_missing,1,"[""E_N002191_N002206""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N002191_N002211,3902,unintentional_missing,3,"[""E_N002191_N002206"",""E_N002195_N002211"",""E_N002191_N002195""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329]",3,0,0,0,3,0
E_N002191_N002211,3902,unintentional_missing,5,"[""E_N002191_N002206"",""E_N002195_N002211"",""E_N002191_N002195"",""E_N002206_N002211"",""E_N002205_N002211""]","[""present"",""present"",""present"","""",""""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999976]",3,0,0,0,3,2
E_N002191_N002211,3902,unintentional_missing,10,"[""E_N002191_N002206"",""E_N002195_N002211"",""E_N002191_N002195"",""E_N002206_N002211"",""E_N002205_N002211"",""E_N002191_N003345"",""E_N001057_N002211"",""E_N002191_N002197"",""E_N002195_N002206"",""E_N002205_N002206""]","[""present"",""present"",""present"","""","""","""",""unintentional_missing"",""unintentional_missing"","""",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999976,2.2799999999999985,2.2800000000000002,2.280000000000001,2.280000000000001,2.792418306772821]",4,2,0,0,6,4
E_N002191_N003331,5888,unintentional_missing,1,"[""E_N002191_N002192""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N002191_N003331,5888,unintentional_missing,3,"[""E_N002191_N002192"",""E_N002192_N003331"",""E_N002191_N003329""]","[""present"",""present"",""""]","[1.6122034611053278,1.6122034611053278,1.612203461105329]",2,0,0,0,2,1
E_N002191_N003331,5888,unintentional_missing,5,"[""E_N002191_N002192"",""E_N002192_N003331"",""E_N002191_N003329"",""E_N003329_N003331"",""E_N002177_N003331""]","[""present"",""present"","""",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053278,1.612203461105329,1.612203461105329,2.2799999999999976]",3,1,0,0,4,1
E_N002191_N003331,5888,unintentional_missing,10,"[""E_N002191_N002192"",""E_N002192_N003331"",""E_N002191_N003329"",""E_N003329_N003331"",""E_N002177_N003331"",""E_N002191_N002197"",""E_N002191_N003345"",""E_N002192_N003329"",""E_N003325_N003331"",""E_N002177_N002192""]","[""present"",""present"","""",""present"",""unintentional_missing"",""unintentional_missing"","""",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.6122034611053278,1.612203461105329,1.612203461105329,2.2799999999999976,2.2799999999999985,2.280000000000001,2.280000000000001,2.280000000000001,2.792418306772821]",5,3,0,0,8,2
E_N002205_N002225,3930,unintentional_missing,1,"[""E_N002205_N002220""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
E_N002205_N002225,3930,unintentional_missing,3,"[""E_N002205_N002220"",""E_N002209_N002225"",""E_N002205_N002209""]","[""present"",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329]",3,0,0,0,3,0
E_N002205_N002225,3930,unintentional_missing,5,"[""E_N002205_N002220"",""E_N002209_N002225"",""E_N002205_N002209"",""E_N002220_N002225"",""E_N002205_N003359""]","[""present"",""present"",""present"","""",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999985]",3,1,0,0,4,1
E_N002205_N002225,3930,unintentional_missing,10,"[""E_N002205_N002220"",""E_N002209_N002225"",""E_N002205_N002209"",""E_N002220_N002225"",""E_N002205_N003359"",""E_N001071_N002225"",""E_N002205_N002211"",""E_N002209_N002220"",""E_N002219_N002225"",""E_N002205_N003343""]","[""present"",""present"",""present"","""",""unintentional_missing"","""","""",""present"","""",""""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2799999999999985,2.2800000000000002,2.280000000000001,2.280000000000001,2.280000000000001,2.7924183067728223]",4,1,0,0,5,5
E_N002205_N003345,5916,unintentional_missing,1,"[""E_N002206_N003345""]","[""present""]",[1.6122034611053266],1,0,0,0,1,0
E_N002205_N003345,5916,unintentional_missing,3,"[""E_N002206_N003345"",""E_N002205_N002206"",""E_N002205_N003343""]","[""present"",""present"",""""]","[1.6122034611053266,1.6122034611053278,1.612203461105329]",2,0,0,0,2,1
E_N002205_N003345,5916,unintentional_missing,5,"[""E_N002206_N003345"",""E_N002205_N002206"",""E_N002205_N003343"",""E_N003343_N003345"",""E_N002191_N003345""]","[""present"",""present"","""",""present"",""""]","[1.6122034611053266,1.6122034611053278,1.612203461105329,1.612203461105329,2.2799999999999976]",3,0,0,0,3,2
E_N002205_N003345,5916,unintentional_missing,10,"[""E_N002206_N003345"",""E_N002205_N002206"",""E_N002205_N003343"",""E_N003343_N003345"",""E_N002191_N003345"",""E_N002205_N002211"",""E_N002205_N003359"",""E_N002206_N003343"",""E_N003339_N003345"",""E_N002191_N002206""]","[""present"",""present"","""",""present"","""","""",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053266,1.6122034611053278,1.612203461105329,1.612203461105329,2.2799999999999976,2.2799999999999985,2.280000000000001,2.280000000000001,2.280000000000001,2.792418306772821]",5,2,0,0,7,3
E_N002205_N003359,5945,unintentional_missing,1,"[""E_N002205_N002220""]","[""present""]",[1.6122034611053278],1,0,0,0,1,0
E_N002205_N003359,5945,unintentional_missing,3,"[""E_N002205_N002220"",""E_N002205_N003343"",""E_N002220_N003359""]","[""present"","""",""present""]","[1.6122034611053278,1.612203461105329,1.612203461105329]",2,0,0,0,2,1
E_N002205_N003359,5945,unintentional_missing,5,"[""E_N002205_N002220"",""E_N002205_N003343"",""E_N002220_N003359"",""E_N003343_N003359"",""E_N002205_N002225""]","[""present"","""",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.612203461105329,1.612203461105329,1.612203461105329,2.2799999999999985]",3,1,0,0,4,1
E_N002205_N003359,5945,unintentional_missing,10,"[""E_N002205_N002220"",""E_N002205_N003343"",""E_N002220_N003359"",""E_N003343_N003359"",""E_N002205_N002225"",""E_N002205_N003345"",""E_N002219_N003359"",""E_N002220_N003343"",""E_N003339_N003359"",""E_N002205_N002209""]","[""present"","""",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"",""present"",""unintentional_missing"",""present""]","[1.6122034611053278,1.612203461105329,1.612203461105329,1.612203461105329,2.2799999999999985,2.280000000000001,2.280000000000001,2.280000000000001,2.280000000000001,2.7924183067728223]",5,4,0,0,9,1
E_N002219_N003359,5944,unintentional_missing,1,"[""E_N002219_N002220""]","[""""]",[1.6122034611053278],0,0,0,0,0,1
E_N002219_N003359,5944,unintentional_missing,3,"[""E_N002219_N002220"",""E_N002219_N003357"",""E_N002220_N003359""]","["""","""",""present""]","[1.6122034611053278,1.612203461105329,1.612203461105329]",1,0,0,0,1,2
E_N002219_N003359,5944,unintentional_missing,5,"[""E_N002219_N002220"",""E_N002219_N003357"",""E_N002220_N003359"",""E_N003357_N003359"",""E_N002219_N002225""]","["""","""",""present"",""present"",""""]","[1.6122034611053278,1.612203461105329,1.612203461105329,1.612203461105329,2.2799999999999985]",2,0,0,0,2,3
E_N002219_N003359,5944,unintentional_missing,10,"[""E_N002219_N002220"",""E_N002219_N003357"",""E_N002220_N003359"",""E_N003357_N003359"",""E_N002219_N002225"",""E_N002205_N003359"",""E_N002219_N003373"",""E_N002220_N003357"",""E_N003353_N003359"",""E_N002219_N002223""]","["""","""",""present"",""present"","""",""unintentional_missing"","""",""present"","""",""present""]","[1.6122034611053278,1.612203461105329,1.612203461105329,1.612203461105329,2.2799999999999985,2.280000000000001,2.280000000000001,2.280000000000001,2.280000000000001,2.7924183067728223]",4,1,0,0,5,5
E_N003280_N003289,5806,unintentional_missing,1,"[""E_N003280_N003286""]","[""""]",[1.6122034611053286],0,0,0,0,0,1
E_N003280_N003289,5806,unintentional_missing,3,"[""E_N003280_N003286"",""E_N003284_N003289"",""E_N003280_N003284""]","["""",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329]",2,0,0,0,2,1
E_N003280_N003289,5806,unintentional_missing,5,"[""E_N003280_N003286"",""E_N003284_N003289"",""E_N003280_N003284"",""E_N003286_N003289"",""E_N003283_N003289""]","["""",""present"",""present"","""",""unintentional_missing""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2800000000000002]",2,1,0,0,3,2
E_N003280_N003289,5806,unintentional_missing,10,"[""E_N003280_N003286"",""E_N003284_N003289"",""E_N003280_N003284"",""E_N003286_N003289"",""E_N003283_N003289"",""E_N002146_N003289"",""E_N003280_N004423"",""E_N003284_N003286"",""E_N003283_N003284"",""E_N003287_N003289""]","["""",""present"",""present"","""",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"","""",""present"",""present""]","[1.6122034611053286,1.6122034611053286,1.612203461105329,1.612203461105329,2.2800000000000002,2.280000000000001,2.280000000000001,2.280000000000001,2.7924183067728237,2.7924183067728237]",4,3,0,0,7,3
E_N003280_N004423,7821,unintentional_missing,1,"[""E_N004420_N004423""]","[""""]",[1.6122034611053278],0,0,0,0,0,1
E_N003280_N004423,7821,unintentional_missing,3,"[""E_N004420_N004423"",""E_N003280_N004420"",""E_N003284_N004423""]","["""","""",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286]",1,0,0,0,1,2
E_N003280_N004423,7821,unintentional_missing,5,"[""E_N004420_N004423"",""E_N003280_N004420"",""E_N003284_N004423"",""E_N003280_N003284"",""E_N004414_N004423""]","["""","""",""present"",""present"",""unintentional_missing""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999976]",2,1,0,0,3,2
E_N003280_N004423,7821,unintentional_missing,10,"[""E_N004420_N004423"",""E_N003280_N004420"",""E_N003284_N004423"",""E_N003280_N003284"",""E_N004414_N004423"",""E_N003283_N004423"",""E_N003280_N003289"",""E_N003284_N004420"",""E_N004414_N004420"",""E_N004418_N004423""]","["""","""",""present"",""present"",""unintentional_missing"",""unintentional_missing"",""unintentional_missing"","""","""",""present""]","[1.6122034611053278,1.6122034611053286,1.6122034611053286,1.612203461105329,2.2799999999999976,2.2800000000000002,2.280000000000001,2.280000000000001,2.7924183067728214,2.7924183067728214]",3,3,0,0,6,4
E_N003283_N003289,5807,unintentional_missing,1,"[""E_N003283_N003287""]","[""present""]",[1.6122034611053286],1,0,0,0,1,0
